cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
hrs,incident_hypertension,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,23,23,,,,PASS,,alcohol_loss,risk_ratio,1.1573759074638936,0.09440995830717505,0.9618614859257916,1.3926319025951894,0.12160016657995781,,,,1597.0,167.0,1430.0,2877.0,332.0,2545.0,2209.0,215.0,1994.0,,,,,,,,,,,,,,,,,,
hrs,incident_hypertension,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,23,23,,,,PASS,,activity_loss,risk_ratio,1.1339167536167905,0.096211416494031,0.9390438350886747,1.3692302276937105,0.19146179389838713,,,,1597.0,167.0,1430.0,2877.0,332.0,2545.0,2209.0,215.0,1994.0,,,,,,,,,,,,,,,,,,
hrs,incident_hypertension,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,23,23,,,,PASS,,work_loss,risk_ratio,1.2580693059688788,0.0841434109683992,1.0667964588547139,1.4836367007818947,0.006363924974054506,,,,1597.0,167.0,1430.0,2877.0,332.0,2545.0,2209.0,215.0,1994.0,,,,,,,,,,,,,,,,,,
hrs,incident_hypertension,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,22,22,,,,PASS,,loss_1,risk_ratio,1.1650328787139965,0.07228388702949612,1.0111370537892055,1.3423517646773748,0.03458483855368446,,,,,,,,,,,,,5523.0,572.0,4951.0,563.0,69.0,494.0,,,,,,,,,,,,
hrs,incident_hypertension,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,22,22,,,,PASS,,loss_2plus,risk_ratio,1.5474539269751926,0.15700674833712858,1.1375574550603025,2.1050485366332596,0.00542181256909106,,,,,,,,,,,,,5523.0,572.0,4951.0,563.0,69.0,494.0,,,,,,,,,,,,
hrs,incident_hypertension,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,24,24,,,,PASS,,direction_expansion,risk_ratio,0.9306625849274603,0.1970790887542013,0.6324675236764878,1.3694503109805465,0.7153969310267467,,,,,,,,,,,,,,,,,,,2670.0,284.0,2386.0,725.0,95.0,630.0,4837.0,481.0,4356.0,524.0,65.0,459.0
hrs,incident_hypertension,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,24,24,,,,PASS,,direction_mixed,risk_ratio,1.2579612694595634,0.10006874171218476,1.0339239671825904,1.5305444168902351,0.021828022814291373,,,,,,,,,,,,,,,,,,,2670.0,284.0,2386.0,725.0,95.0,630.0,4837.0,481.0,4356.0,524.0,65.0,459.0
hrs,incident_hypertension,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,24,24,,,,PASS,,direction_contraction_1,risk_ratio,1.187337000391298,0.1877665911942743,0.8217633904218473,1.7155414428653342,0.3604529554287441,,,,,,,,,,,,,,,,,,,2670.0,284.0,2386.0,725.0,95.0,630.0,4837.0,481.0,4356.0,524.0,65.0,459.0
hrs,incident_hypertension,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,24,24,,,,PASS,,direction_contraction_2_plus,risk_ratio,1.7048456252847608,0.38768572296549547,0.7974186226838457,3.644884284581016,0.16880645317281162,,,,,,,,,,,,,,,,,,,2670.0,284.0,2386.0,725.0,95.0,630.0,4837.0,481.0,4356.0,524.0,65.0,459.0
hrs,incident_hypertension,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,23819,8134,2268,21551,18,18,6086.0,641.0,5445.0,PASS,,any_withdrawal,risk_ratio,1.1079216877139573,0.04555131582308457,1.013294565620711,1.2113856204834403,0.024455292005512667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
