cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,metric,estimate,ci_low,ci_high,bootstrap_replicates,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M2_fried,PASS,brier_score,0.020739126495173545,0.019208620339325466,0.02247070162648729,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M3b_fried_any_withdrawal,PASS,c_statistic,0.6618078108281282,0.6423429352712859,0.6800568718517057,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M3b_fried_any_withdrawal,PASS,brier_score,0.020740347979374154,0.01921059836998972,0.02247285901204086,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,delta_c_statistic,-0.001245018164898748,-0.0020740102575539294,-0.0002778193784508998,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,delta_brier_score,9.197120767641398e-07,-2.1582206105008086e-06,3.4511467257062983e-06,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M2_fried_minus_M0_routine,PASS,delta_c_statistic,0.006246754169936919,-0.0003578586685454521,0.013066067463218943,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M2_fried_minus_M0_routine,PASS,delta_brier_score,-1.5193983713749498e-05,-3.6612328281799505e-05,4.774374143381998e-06,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,delta_c_statistic,0.005056616480161091,-0.00169997227382242,0.011804487963173998,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,delta_brier_score,-1.3972499513140169e-05,-3.712051267160763e-05,5.815411865998578e-06,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,delta_c_statistic,-0.0011901376897758276,-0.00202152848424324,-0.00031896632626231004,500,8218.0,215.0,8003.0
share,incident_stroke,head_to_head_cv_binary_flag,31291,22245,667,30624,20,20,13420,333,13087,2354,109,2245,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,delta_brier_score,1.2214842006093296e-06,-2.0561330404283464e-06,4.208194194143912e-06,500,8218.0,215.0,8003.0
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M0_routine,PASS,c_statistic,0.6579078259115425,0.6438073448020283,0.6715335540159918,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M0_routine,PASS,brier_score,0.04705537955917962,0.04493530179123453,0.04898831673771757,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M1_withdrawal,PASS,c_statistic,0.6565055344916266,0.642561703303882,0.6700838107255829,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M1_withdrawal,PASS,brier_score,0.047078003927929456,0.04496225536147403,0.049011999090830136,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M2_fried,PASS,c_statistic,0.6666226447591319,0.6514841676605283,0.6802086858521816,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M2_fried,PASS,brier_score,0.046929714927391085,0.04482469642306309,0.048863692056243684,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M3_fried_withdrawal,PASS,c_statistic,0.6652292304679573,0.6501172879312999,0.6792486505264892,500,,,
