cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,two_domain_any_n,two_domain_any_events,two_domain_any_nonevents,alcohol_loss_n,alcohol_loss_events,alcohol_loss_nonevents,activity_loss_n,activity_loss_events,activity_loss_nonevents,work_loss_n,work_loss_events,work_loss_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,direction_expansion_n,direction_expansion_events,direction_expansion_nonevents,direction_mixed_n,direction_mixed_events,direction_mixed_nonevents,direction_contraction_1_n,direction_contraction_1_events,direction_contraction_1_nonevents,direction_contraction_2_plus_n,direction_contraction_2_plus_events,direction_contraction_2_plus_nonevents
share,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,21,21,,,,PASS,,direction_mixed,risk_ratio,1.1599940074028916,0.2172823919205103,0.757712825301554,1.7758523444223138,0.494574953943292,,,,,,,,,,,,,,,,,,,3726.0,72.0,3654.0,880.0,23.0,857.0,7124.0,193.0,6931.0,832.0,27.0,805.0
share,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,21,21,,,,PASS,,direction_contraction_1,risk_ratio,0.707286840328662,0.4213646866060867,0.309691514733615,1.615332195757454,0.4111346981830485,,,,,,,,,,,,,,,,,,,3726.0,72.0,3654.0,880.0,23.0,857.0,7124.0,193.0,6931.0,832.0,27.0,805.0
share,incident_stroke,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,21,21,,,,PASS,,direction_contraction_2_plus,risk_ratio,0.4917289797551137,0.8550248039866089,0.0920295654360292,2.6273881484215114,0.40643498710451686,,,,,,,,,,,,,,,,,,,3726.0,72.0,3654.0,880.0,23.0,857.0,7124.0,193.0,6931.0,832.0,27.0,805.0
share,incident_stroke,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,15,15,8836.0,243.0,8593.0,PASS,,any_withdrawal,risk_ratio,1.3091838206645556,0.08074731711362947,1.117553668653211,1.5336733477465807,0.0008487641331660835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_stroke,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,15,15,,,,PASS,,two_domain_any,risk_ratio,1.297073505747316,0.08351547263268108,1.101225068660813,1.5277527974890541,0.0018424470797961316,6599.0,204.0,6395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_stroke,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,17,17,,,,PASS,,alcohol_loss,risk_ratio,1.2898941856084418,0.10912906750760544,1.0415095450255167,1.5975148936591856,0.019666392929668066,,,,3629.0,101.0,3528.0,3437.0,124.0,3313.0,2667.0,47.0,2620.0,,,,,,,,,,,,,,,,,,
share,incident_stroke,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,17,17,,,,PASS,,activity_loss,risk_ratio,1.299373419481156,0.09998949261937981,1.068126691918545,1.5806844787499297,0.008816291802677307,,,,3629.0,101.0,3528.0,3437.0,124.0,3313.0,2667.0,47.0,2620.0,,,,,,,,,,,,,,,,,,
share,incident_stroke,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,32850,23186,731,32119,17,17,,,,PASS,,work_loss,risk_ratio,1.2018304077915234,0.16277918250524556,0.8735450289814226,1.653488121587212,0.2587215541829342,,,,3629.0,101.0,3528.0,3437.0,124.0,3313.0,2667.0,47.0,2620.0,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,specificity,any_withdrawal,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,18,18,7382.0,433.0,6949.0,PASS,,any_withdrawal,risk_ratio,0.9389311259020499,0.10103632212167703,0.7702495672778038,1.1445532677199544,0.5328454484855019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,specificity,two_domain_any_current_adjusted,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,18,18,,,,PASS,,two_domain_any,risk_ratio,0.88551340367449,0.1058031749559733,0.7196731722963061,1.0895695688991642,0.25047867830840387,5385.0,354.0,5031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,20,20,,,,PASS,,alcohol_loss,risk_ratio,0.9661853785300318,0.11230150520613644,0.7752990403366318,1.2040698325640808,0.7593653321285121,,,,3039.0,168.0,2871.0,2717.0,225.0,2492.0,2368.0,89.0,2279.0,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,20,20,,,,PASS,,activity_loss,risk_ratio,0.9289147777154797,0.16971097367814614,0.666066558283825,1.2954901481339745,0.6639302638948075,,,,3039.0,168.0,2871.0,2717.0,225.0,2492.0,2368.0,89.0,2279.0,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,specificity,domain_specific_current_adjusted,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,20,20,,,,PASS,,work_loss,risk_ratio,0.9286860086835811,0.13439304685867398,0.7136303859500921,1.2085495793125556,0.5819702853748476,,,,3039.0,168.0,2871.0,2717.0,225.0,2492.0,2368.0,89.0,2279.0,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,19,19,,,,PASS,,loss_1,risk_ratio,0.9409379566867898,0.10425937019978201,0.7670351232829232,1.1542681833714958,0.5592809545951544,,,,,,,,,,,,,6669.0,385.0,6284.0,713.0,48.0,665.0,,,,,,,,,,,,
share,incident_heart_disease,specificity,withdrawal_gradient,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,19,19,,,,PASS,,loss_2plus,risk_ratio,0.9539898476492152,0.2178116465466735,0.6225039955482567,1.4619932336598502,0.8287911601749576,,,,,,,,,,,,,6669.0,385.0,6284.0,713.0,48.0,665.0,,,,,,,,,,,,
share,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,21,21,,,,PASS,,direction_expansion,risk_ratio,0.6111796428283844,0.31537431547587647,0.32939862070022685,1.134007650104208,0.11847509768510414,,,,,,,,,,,,,,,,,,,3234.0,158.0,3076.0,745.0,32.0,713.0,5956.0,354.0,5602.0,681.0,47.0,634.0
share,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,21,21,,,,PASS,,direction_mixed,risk_ratio,0.7742814962582085,0.1801651381482487,0.5439287781063932,1.1021881164937826,0.1556314602150665,,,,,,,,,,,,,,,,,,,3234.0,158.0,3076.0,745.0,32.0,713.0,5956.0,354.0,5602.0,681.0,47.0,634.0
share,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,21,21,,,,PASS,,direction_contraction_1,risk_ratio,1.5730350058709894,0.2981052499545033,0.8769821191472283,2.8215388611362697,0.12860635810436447,,,,,,,,,,,,,,,,,,,3234.0,158.0,3076.0,745.0,32.0,713.0,5956.0,354.0,5602.0,681.0,47.0,634.0
share,incident_heart_disease,specificity,direction_symmetry,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,21,21,,,,PASS,,direction_contraction_2_plus,risk_ratio,2.6495128015206424,0.6044064966735596,0.8103903847895783,8.66239064181952,0.10693583902749165,,,,,,,,,,,,,,,,,,,3234.0,158.0,3076.0,745.0,32.0,713.0,5956.0,354.0,5602.0,681.0,47.0,634.0
share,incident_heart_disease,current_state_decomposition,three_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,15,15,7382.0,433.0,6949.0,PASS,,any_withdrawal,risk_ratio,1.1712905196584031,0.057762745883405624,1.0459161999035826,1.3116935004621995,0.006197125760500979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,current_state_decomposition,two_domain_any_without_current_states,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,15,15,,,,PASS,,two_domain_any,risk_ratio,1.167403040116312,0.060429198353919834,1.0370110714086784,1.3141902682114435,0.010425964585626807,5385.0,354.0,5031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
share,incident_heart_disease,current_state_decomposition,domain_specific_without_current_states,PASS_BASELINE_FREE_RISK_SET,27970,19791,1436,26534,17,17,,,,PASS,,alcohol_loss,risk_ratio,1.0388912338866996,0.08178773882109652,0.8850182618862868,1.219517203573031,0.6408572711781269,,,,3039.0,168.0,2871.0,2717.0,225.0,2492.0,2368.0,89.0,2279.0,,,,,,,,,,,,,,,,,,
