cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,metric,estimate,ci_low,ci_high,bootstrap_replicates
elsa,incident_heart_disease,head_to_head_cv_binary_flag,10502,5640,390,10112,20,20,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,2126.0,91.0,2035.0,delta_brier_score,4.264260383239626e-06,-3.6055535324042154e-06,1.2186424097692521e-05,500.0
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv_binary_flag,7218,3959,418,6800,20,20,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv_binary_flag,7218,3959,418,6800,20,20,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv_binary_flag,7218,3959,418,6800,20,20,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_hypertension,head_to_head_cv_binary_flag,7218,3959,418,6800,20,20,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_cancer,head_to_head_cv,11438,6119,326,11112,21,21,4346.0,128.0,4218.0,558.0,23.0,535.0,2230.0,54.0,2176.0,155.0,7.0,148.0,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_cancer,head_to_head_cv,11438,6119,326,11112,21,21,4346.0,128.0,4218.0,558.0,23.0,535.0,2230.0,54.0,2176.0,155.0,7.0,148.0,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_cancer,head_to_head_cv,11438,6119,326,11112,21,21,4346.0,128.0,4218.0,558.0,23.0,535.0,2230.0,54.0,2176.0,155.0,7.0,148.0,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_cancer,head_to_head_cv,11438,6119,326,11112,21,21,4346.0,128.0,4218.0,558.0,23.0,535.0,2230.0,54.0,2176.0,155.0,7.0,148.0,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M0_routine,PASS,2385.0,61.0,2324.0,c_statistic,0.5555128595847302,0.5202581758899748,0.5886366179764162,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M0_routine,PASS,2385.0,61.0,2324.0,brier_score,0.027685131897429088,0.02487287331199308,0.030956056792431363,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M1b_any_withdrawal,PASS,2385.0,61.0,2324.0,c_statistic,0.5658449164557633,0.5307935304318224,0.598896484587262,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M1b_any_withdrawal,PASS,2385.0,61.0,2324.0,brier_score,0.02767685549205379,0.024876841626959835,0.03094711762634484,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M2_fried,PASS,2385.0,61.0,2324.0,c_statistic,0.551897964727239,0.5168086105734251,0.587111914090974,500.0
