cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,withdrawal_log_rr_attenuation_percent
share,incident_heart_disease,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,19369,16955,1003,18366,22,22,4824,289,4535,PASS,,context_incident_non_target_disease,risk_ratio,0.9662907408436042,0.0775529290895433,0.8300316353767461,1.1249183236447042,0.6583761070680307,-7.246207671913902
share,incident_heart_disease,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,19369,16955,1003,18366,22,22,4824,289,4535,PASS,,context_fi_change,risk_ratio,1.0574460819244766,0.02018512103813119,1.0164280139520012,1.100119438689764,0.005653681459561902,-7.246207671913902
share,incident_hypertension,clinical_context,base_same_set_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,15888,11517,1861,14027,18,18,4068,507,3561,PASS,,any_withdrawal,risk_ratio,0.9639336578752618,0.08297741820958447,0.819250355399794,1.1341686831876299,0.6579940470208246,
share,incident_hypertension,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,15888,11517,1861,14027,19,19,4068,507,3561,PASS,,any_withdrawal,risk_ratio,0.963372031194935,0.083000025756542,0.8187367480440453,1.1335580975274935,0.6530092716100125,-1.5866203710960938
share,incident_hypertension,clinical_context,plus_self_rated_health_worsening,PASS_BASELINE_FREE_RISK_SET,15888,11517,1861,14027,19,19,4068,507,3561,PASS,,context_self_rated_health_worsening,risk_ratio,1.0580474275923408,0.04726818504399142,0.9644292722965904,1.1607531948599976,0.23258600628114057,-1.5866203710960938
share,incident_hypertension,clinical_context,base_same_set_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,15896,11522,1862,14034,18,18,4070,506,3564,PASS,,any_withdrawal,risk_ratio,0.9617822118481246,0.0829996312424645,0.8173862473031627,1.1316865509781273,0.6387216000289309,
share,incident_hypertension,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,15896,11522,1862,14034,19,19,4070,506,3564,PASS,,any_withdrawal,risk_ratio,0.9618301752579225,0.08301895164067882,0.8173960566314498,1.1317858442444209,0.639229026143377,0.12797430490072995
share,incident_hypertension,clinical_context,plus_transition_hospitalization,PASS_BASELINE_FREE_RISK_SET,15896,11522,1862,14034,19,19,4070,506,3564,PASS,,context_transition_hospitalization,risk_ratio,1.0064299830343875,0.06242776460558391,0.8905226233273553,1.137423445758161,0.9182256434375919,0.12797430490072995
share,incident_hypertension,clinical_context,base_same_set_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,15738,11421,1838,13900,18,18,4020,497,3523,PASS,,any_withdrawal,risk_ratio,0.9555307267151937,0.08364027319020821,0.8110542931355385,1.125743341012418,0.5865397985398331,
share,incident_hypertension,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,15738,11421,1838,13900,19,19,4020,497,3523,PASS,,any_withdrawal,risk_ratio,0.9554127500059812,0.08365562429060826,0.8109297552276056,1.125638215874555,0.5855930648398038,-0.2714427032467024
