cohort,outcome_id,context_id,model_id,state_adjustment,term,log_rr_attenuation_percent,n,events,estimate,ci_low,ci_high
hrs,incident_any_iadl,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,loss_1,40.85483456337536,19181,1299,1.2253213111792602,1.0160925973676076,1.4776333569595643
hrs,incident_any_iadl,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,loss_2plus,44.64752108242196,19181,1299,1.292766517393512,0.8576361805659551,1.948664604367429
hrs,incident_any_iadl,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,loss_1,2.284847369726007,19181,1299,1.39894270981371,1.2502856373884106,1.5652748834488586
hrs,incident_any_iadl,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,loss_2plus,2.96359466099762,19181,1299,1.568562393228521,1.1593296479270732,2.1222505487115386
hrs,incident_any_iadl,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,loss_1,62.36678556353661,51059,3600,1.1506419526338805,1.0289371028385363,1.2867423086490366
hrs,incident_any_iadl,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,loss_2plus,52.87506045870701,51059,3600,1.3892532604746468,1.0877536411224054,1.774321453659239
hrs,incident_any_iadl,incident_non_target_disease,plus_incident_non_target_disease,unconditional,loss_1,-0.085659234077213,51059,3600,1.4523479526436625,1.357192650443209,1.5541747701473434
hrs,incident_any_iadl,incident_non_target_disease,plus_incident_non_target_disease,unconditional,loss_2plus,-0.2079472996018391,51059,3600,2.0119393888653536,1.6864717874765334,2.4002180970514555
hrs,incident_any_iadl,fi_change,base_same_set_fi_change,current_state_held,loss_1,78.31444759624249,36812,2612,1.081937483092296,0.9461485515711104,1.2372145107407204
hrs,incident_any_iadl,fi_change,base_same_set_fi_change,current_state_held,loss_2plus,64.37396451872857,36812,2612,1.2911559712950162,0.969079370570182,1.720275751231714
hrs,incident_any_iadl,fi_change,plus_fi_change,unconditional,loss_1,-0.0228422089899943,36812,2612,1.437986159810795,1.327892573249671,1.5572074409204546
hrs,incident_any_iadl,fi_change,plus_fi_change,unconditional,loss_2plus,-0.023620150516927,36812,2612,2.0491969715510763,1.675969614348297,2.505539594670379
hrs,incident_any_iadl,joint_context,base_same_set_joint_context,current_state_held,loss_1,61.45714377952154,15912,1097,1.1383245391864731,0.9262981572892895,1.3988830122539195
hrs,incident_any_iadl,joint_context,base_same_set_joint_context,current_state_held,loss_2plus,68.22948721275066,15912,1097,1.1704670626514688,0.749510143503307,1.827851372829236
hrs,incident_any_iadl,joint_context,plus_joint_context,unconditional,loss_1,11.616981327589396,15912,1097,1.3459358667279315,1.1911426698263623,1.5208449862758624
