cohort,outcome_id,analysis_family,context_id,outcome_coding_status,context_fields,model_id,state_adjustment,n,people,events,nonevents,parameters,matrix_rank,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,log_rr_attenuation_percent
hrs,mortality,clinical_context_graded,fi_change,PASS_SOURCE_STATUS,fi_change,base_same_set_fi_change,current_state_held,50822,17971,2784,48038,20,20,13601,1085,12516,1522,171,1351,PASS,,loss_1,risk_ratio,1.1350787334245656,0.06850211307452977,0.9924688450339436,1.2981805298166824,0.06437015142974786,74.23755668691848
hrs,mortality,clinical_context_graded,fi_change,PASS_SOURCE_STATUS,fi_change,base_same_set_fi_change,current_state_held,50822,17971,2784,48038,20,20,13601,1085,12516,1522,171,1351,PASS,,loss_2plus,risk_ratio,1.7121261350872417,0.13525652341397082,1.313424748238302,2.2318567594988847,7.017997214376523e-05,53.82383760876716
hrs,mortality,clinical_context_graded,fi_change,PASS_SOURCE_STATUS,fi_change,plus_fi_change,unconditional,50822,17971,2784,48038,18,18,13601,1085,12516,1522,171,1351,PASS,,loss_1,risk_ratio,1.5392828470660096,0.03800142009996897,1.4288003976928394,1.6583083873000204,7.415140582888867e-30,12.299974941789706
hrs,mortality,clinical_context_graded,fi_change,PASS_SOURCE_STATUS,fi_change,plus_fi_change,unconditional,50822,17971,2784,48038,18,18,13601,1085,12516,1522,171,1351,PASS,,loss_2plus,risk_ratio,2.8133687344078657,0.08027116659357968,2.4038076660283414,3.292710871839943,5.389863223878106e-38,11.176072796085233
hrs,mortality,clinical_context_graded,fi_change,PASS_SOURCE_STATUS,fi_change,plus_fi_change,unconditional,50822,17971,2784,48038,18,18,13601,1085,12516,1522,171,1351,PASS,,context_fi_change,risk_ratio,1.145107537664323,0.009986794290936223,1.1229114202047836,1.167742396436323,6.218326812445712e-42,
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,unconditional,21278,13636,1040,20238,17,17,5558,389,5169,631,60,571,PASS,,loss_1,risk_ratio,1.5889828031171274,0.06266532664872666,1.4053301842068202,1.7966356782032817,1.4687638023887705e-13,
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,unconditional,21278,13636,1040,20238,17,17,5558,389,5169,631,60,571,PASS,,loss_2plus,risk_ratio,2.7324206210823525,0.1350941287970914,2.0967913837010155,3.5607368995086803,1.0019241839877367e-13,
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,current_state_held,21278,13636,1040,20238,20,20,5558,389,5169,631,60,571,PASS,,loss_1,risk_ratio,1.0768171891570868,0.11266216499865,0.8634630762714914,1.3428892221670246,0.5112345633342821,84.01844278460663
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,current_state_held,21278,13636,1040,20238,20,20,5558,389,5169,631,60,571,PASS,,loss_2plus,risk_ratio,1.3717891614528472,0.22770979531533467,0.8779311084015591,2.143454634960699,0.16506397731850986,68.55156652780526
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,21278,13636,1040,20238,23,23,5558,389,5169,631,60,571,PASS,,loss_1,risk_ratio,1.4051953139214237,0.06320440573466388,1.2414722176776762,1.5905099140763759,7.35967689149872e-08,26.54271944466035
