cohort,outcome_id,analysis_family,context_id,outcome_coding_status,context_fields,model_id,state_adjustment,n,people,events,nonevents,parameters,matrix_rank,model_status,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
charls,incident_any_iadl,clinical_context_graded,bmi_or_weight_loss,PASS_STRICT_COMPLETE_ITEM_COUNTS,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,740,740,121,619,14,14,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_iadl,clinical_context_graded,incident_non_target_disease,PASS_STRICT_COMPLETE_ITEM_COUNTS,incident_non_target_disease,base_same_set_incident_non_target_disease,unconditional,899,899,147,752,13,13,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,287.0,52.0,235.0,58.0,14.0,44.0
charls,incident_any_iadl,clinical_context_graded,incident_non_target_disease,PASS_STRICT_COMPLETE_ITEM_COUNTS,incident_non_target_disease,base_same_set_incident_non_target_disease,current_state_held,899,899,147,752,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_iadl,clinical_context_graded,incident_non_target_disease,PASS_STRICT_COMPLETE_ITEM_COUNTS,incident_non_target_disease,plus_incident_non_target_disease,unconditional,899,899,147,752,14,14,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,287.0,52.0,235.0,58.0,14.0,44.0
charls,incident_any_iadl,clinical_context_graded,fi_change,PASS_STRICT_COMPLETE_ITEM_COUNTS,fi_change,base_same_set_fi_change,unconditional,0,0,0,0,14,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_iadl,clinical_context_graded,fi_change,PASS_STRICT_COMPLETE_ITEM_COUNTS,fi_change,base_same_set_fi_change,current_state_held,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_iadl,clinical_context_graded,fi_change,PASS_STRICT_COMPLETE_ITEM_COUNTS,fi_change,plus_fi_change,unconditional,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_iadl,clinical_context_graded,joint_context,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,unconditional,0,0,0,0,14,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_iadl,clinical_context_graded,joint_context,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,base_same_set_joint_context,current_state_held,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,incident_any_iadl,clinical_context_graded,joint_context,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,0,0,0,0,19,0,NOT_EVALUABLE_CLUSTERS,,,,,,
