cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,model_id,model_status,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,metric,estimate,ci_low,ci_high,bootstrap_replicates
elsa,incident_hypertension,head_to_head_cv,7218,3959,418,6800,21,21,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,,,,,,,,
elsa,incident_hypertension,head_to_head_cv_binary_flag,7218,3959,418,6800,20,20,M0_routine,NOT_EVALUABLE_CV_SUPPORT,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,,,,,,,,
elsa,incident_hypertension,head_to_head_cv_binary_flag,7218,3959,418,6800,20,20,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,,,,,,,,
elsa,incident_hypertension,head_to_head_cv_binary_flag,7218,3959,418,6800,20,20,M2_fried,NOT_EVALUABLE_CV_SUPPORT,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,,,,,,,,
elsa,incident_hypertension,head_to_head_cv_binary_flag,7218,3959,418,6800,20,20,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,2557.0,159.0,2398.0,255.0,12.0,243.0,,,,,,,,,,,,,,
elsa,incident_cancer,head_to_head_cv,11438,6119,326,11112,21,21,M0_routine,NOT_EVALUABLE_CV_SUPPORT,4346.0,128.0,4218.0,558.0,23.0,535.0,2230.0,54.0,2176.0,155.0,7.0,148.0,,,,,,,,
elsa,incident_cancer,head_to_head_cv,11438,6119,326,11112,21,21,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,4346.0,128.0,4218.0,558.0,23.0,535.0,2230.0,54.0,2176.0,155.0,7.0,148.0,,,,,,,,
elsa,incident_cancer,head_to_head_cv,11438,6119,326,11112,21,21,M2_fried,NOT_EVALUABLE_CV_SUPPORT,4346.0,128.0,4218.0,558.0,23.0,535.0,2230.0,54.0,2176.0,155.0,7.0,148.0,,,,,,,,
elsa,incident_cancer,head_to_head_cv,11438,6119,326,11112,21,21,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,4346.0,128.0,4218.0,558.0,23.0,535.0,2230.0,54.0,2176.0,155.0,7.0,148.0,,,,,,,,
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,M0_routine,PASS,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,2385.0,61.0,2324.0,c_statistic,0.5555128595847302,0.5202581758899748,0.5886366179764162,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,M0_routine,PASS,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,2385.0,61.0,2324.0,brier_score,0.027685131897429,0.024872873311993,0.0309560567924313,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,M1b_any_withdrawal,PASS,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,2385.0,61.0,2324.0,c_statistic,0.5658449164557633,0.5307935304318224,0.598896484587262,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,M1b_any_withdrawal,PASS,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,2385.0,61.0,2324.0,brier_score,0.0276768554920537,0.0248768416269598,0.0309471176263448,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,M2_fried,PASS,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,2385.0,61.0,2324.0,c_statistic,0.551897964727239,0.5168086105734251,0.587111914090974,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,M2_fried,PASS,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,2385.0,61.0,2324.0,brier_score,0.0276952414181869,0.0248776188333661,0.030963835859099,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,M3b_fried_any_withdrawal,PASS,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,2385.0,61.0,2324.0,c_statistic,0.5621748112911703,0.5269028484195799,0.5948415398847016,500.0
