analysis_family,model_id,outcome_id,term,k_cohorts,cohorts,pooled_rr,ci_low,ci_high,prediction_low,prediction_high,i2,tau2_log_scale,direction_above_one,cohort_estimates
frailty_head_to_head,M2_fried,incident_cancer,prefrail,3,elsa;hrs;share,1.0465022060431528,0.6177968622741493,1.7726973607826482,0.05888344965136339,18.598891093124468,0.7912998892441191,0.03628654425565978,0.3333333333333333,elsa:0.9832;hrs:0.8670;share:1.2979
frailty_head_to_head,M2_fried,incident_diabetes,frail,3,elsa;hrs;share,1.5531853669942606,0.9629977063181179,2.505078432085264,0.37858512775529074,6.372106581546463,0.0,6.408864009301679e-13,1.0,elsa:1.7888;hrs:1.1611;share:1.6560
frailty_head_to_head,M2_fried,incident_diabetes,prefrail,3,elsa;hrs;share,1.1710343565298178,0.9494812145527878,1.4442849875856747,0.6303631165693335,2.1754468624948062,0.0,4.2300630066830894e-13,1.0,elsa:1.2035;hrs:1.2859;share:1.1020
frailty_head_to_head,M2_fried,incident_heart_disease,frail,3,elsa;hrs;share,1.717638149213211,0.8821452876623176,3.3444386688850534,0.04878325404539907,60.477327094395335,0.7230980372120297,0.05457341514205145,1.0,elsa:1.4922;hrs:1.3932;share:2.2401
frailty_head_to_head,M2_fried,incident_heart_disease,prefrail,3,elsa;hrs;share,1.1994294671332508,0.8537587449179973,1.6850557082911444,0.21148095385427693,6.802650642567355,0.6408974283336927,0.012412652240312759,1.0,elsa:1.0513;hrs:1.1317;share:1.3651
frailty_head_to_head,M3b_fried_any_withdrawal,incident_cancer,any_withdrawal,3,elsa;hrs;share,0.8656360596744482,0.39400929488878694,1.901797235570825,0.02094048441065984,35.7835937848342,0.582274777069827,0.052332657176674985,0.3333333333333333,elsa:0.5656;hrs:1.1067;share:0.9117
frailty_head_to_head,M3b_fried_any_withdrawal,incident_cancer,frail,3,elsa;hrs;share,1.2807868310519595,0.8422039502866555,1.947764441187652,0.3713940795585503,4.416911838083055,0.0,6.480056610543877e-13,1.0,elsa:1.1451;hrs:1.0720;share:1.4471
frailty_head_to_head,M3b_fried_any_withdrawal,incident_cancer,prefrail,3,elsa;hrs;share,1.0494195919105125,0.6213905604057365,1.7722854997451931,0.060238427701562514,18.282042242896395,0.7883164972909513,0.03574849380105684,0.3333333333333333,elsa:0.9922;hrs:0.8670;share:1.2976
frailty_head_to_head,M3b_fried_any_withdrawal,incident_diabetes,any_withdrawal,3,elsa;hrs;share,1.0614591589188294,0.7554767767453393,1.491370192617399,0.3888496089398994,2.897509783086372,0.0,3.667261000145082e-13,0.6666666666666666,elsa:0.9181;hrs:1.2505;share:1.0054
frailty_head_to_head,M3b_fried_any_withdrawal,incident_diabetes,frail,3,elsa;hrs;share,1.5525973111738707,0.962980834459918,2.5032257386682883,0.37884563578497754,6.3629039982725315,0.0,6.421513405178774e-13,1.0,elsa:1.7864;hrs:1.1610;share:1.6560
frailty_head_to_head,M3b_fried_any_withdrawal,incident_diabetes,prefrail,3,elsa;hrs;share,1.1708936293679773,0.9507844426105136,1.4419586920566994,0.6330702027391321,2.165623789214189,0.0,4.2300630066830894e-13,1.0,elsa:1.2056;hrs:1.2839;share:1.1020
frailty_head_to_head,M3b_fried_any_withdrawal,incident_heart_disease,any_withdrawal,3,elsa;hrs;share,1.0255216392468938,0.8349402991011349,1.2596045893291423,0.5588090552888593,1.882028615338015,0.0,4.2300630066830894e-13,0.6666666666666666,elsa:1.0690;hrs:1.1269;share:0.9700
frailty_head_to_head,M3b_fried_any_withdrawal,incident_heart_disease,frail,3,elsa;hrs;share,1.7164516183017886,0.8808886074820398,3.3445842447575287,0.048498696346788696,60.74815159780908,0.7240884410453602,0.054748279531667804,1.0,elsa:1.4922;hrs:1.3913;share:2.2395
frailty_head_to_head,M3b_fried_any_withdrawal,incident_heart_disease,prefrail,3,elsa;hrs;share,1.1983626197924788,0.8517113445626322,1.686102900570545,0.20909294862378425,6.868108073313287,0.6443464746806,0.012582720468958395,1.0,elsa:1.0502;hrs:1.1302;share:1.3650
frailty_head_to_head,nonfrail_any_withdrawal,incident_arthritis,any_withdrawal,3,elsa;hrs;share,1.1064445807613448,0.9621334537533165,1.2724010432444939,0.7323060155675117,1.671732287146952,0.0,4.2300630066830894e-13,0.6666666666666666,elsa:0.9832;hrs:1.1946;share:1.1046
frailty_head_to_head,nonfrail_any_withdrawal,incident_cancer,any_withdrawal,3,elsa;hrs;share,0.8245934205257821,0.31198058508327975,2.1794763574563563,0.00637705089504563,106.62519718992199,0.6629558597670783,0.09540165131789427,0.3333333333333333,elsa:0.4932;hrs:1.1075;share:0.8933
frailty_head_to_head,nonfrail_any_withdrawal,incident_diabetes,any_withdrawal,3,elsa;hrs;share,1.057412059951637,0.7445854752574355,1.5016681115684964,0.3753167737900163,2.9791374716354526,0.0,4.2341813984003893e-13,0.3333333333333333,elsa:0.9889;hrs:1.2504;share:0.9740
