cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,warnings,term,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,withdrawal_only_n,withdrawal_only_events,withdrawal_only_nonevents,frailty_only_n,frailty_only_events,frailty_only_nonevents,both_n,both_events,both_nonevents
elsa,incident_diabetes,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,11572,6128,236,11336,20,20,NOT_EVALUABLE_BOTH_EVENTS,,,,,,,,,,,,,,,,,,,,,,,,2131.0,50.0,2081.0,311.0,14.0,297.0,186.0,9.0,177.0
elsa,incident_stroke,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,12298,6474,117,12181,17,17,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,12298,6474,117,12181,19,19,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,12298,6474,117,12181,19,19,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,12298,6474,117,12181,21,21,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,12298,6474,117,12181,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,12298,6474,117,12181,20,20,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,frailty_head_to_head,M4_fried4_withdrawal,PASS_BASELINE_FREE_RISK_SET,12298,6474,117,12181,20,20,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,frailty_head_to_head,M5_fi_withdrawal,PASS_BASELINE_FREE_RISK_SET,8200,4852,80,8120,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,frailty_head_to_head,nonfrail_withdrawal,PASS_BASELINE_FREE_RISK_SET,11727,6236,105,11622,19,19,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
